condition,condition_id,conversation_id,from,to,from_turn,to_turn,from_slot,to_slot,pair_type,adjacent_distance,x,y,xend,yend
AI-AI,ai-ai,conv_4f8a0b7e568d40eba7e40164ecf1db73,248,249,7.0,8.0,author_1,author_2,between_exchange,0.24588107688676653,-0.03008605164918874,0.1270653037914797,-0.1502208415619077,-0.07120450445850547
AI-AI,ai-ai,conv_c7841512d38b483c928344d48d5caa78,537,538,8.0,8.0,author_1,author_2,within_exchange,0.23772791877407107,-0.007432612616335306,-0.060859373149843535,0.09591307154865751,-0.15818221459260187
AI-AI,ai-ai,conv_30e43acd01e24513a5f6f65aa3fc5f50,163,164,1.0,1.0,author_2,author_1,within_exchange,0.27288622259237416,0.2355344890559957,-0.1544316816986554,0.25799350769479906,-0.29742153750365263
AI-AI,ai-ai,conv_272a28c1cb76483fb0bcc11661b06dbc,157,158,7.0,7.0,author_1,author_2,within_exchange,0.20996190339905652,0.23454262900822517,0.017973488679112914,0.22365683219409596,0.0965325107625935
AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,87,88,8.0,8.0,author_2,author_1,within_exchange,0.3099849262848545,-0.025097784797856716,0.08384104383507121,0.1451474022926187,0.12576685667962956
AI-AI,ai-ai,conv_c7841512d38b483c928344d48d5caa78,524,525,1.0,2.0,author_2,author_1,between_exchange,0.2838504468358303,0.13518953884845492,-0.025477366328197013,-0.06304377553388739,-0.1429955918418726
AI-AI,ai-ai,conv_4f8a0b7e568d40eba7e40164ecf1db73,245,246,6.0,6.0,author_2,author_1,within_exchange,0.2841592969278942,0.01653520947665357,0.11166242665535284,-0.11430800800506452,0.013108558678880198
AI-AI,ai-ai,conv_ec61d7cb57094812b5ed7b7b55c18b32,643,644,7.0,7.0,author_1,author_2,within_exchange,0.27053556637766574,0.25334528122690114,-0.011211643092765164,0.06902852689775922,0.10489763110071629
AI-AI,ai-ai,conv_5f83922b1e334cfcb374e90c11c81c1e,284,285,7.0,8.0,author_2,author_1,between_exchange,0.39463657913217376,0.2806899014950529,-0.021389196907577825,0.26081441654927745,-0.06579999511216274
AI-AI,ai-ai,conv_0388f204ccd644f39221d0d8afff6d09,31,32,7.0,7.0,author_2,author_1,within_exchange,0.2766807100596538,0.07868790031252902,0.12217289573559248,-0.07189322431097207,-0.07871080073743349
AI-AI,ai-ai,conv_c844530b86a74806aff04a1d35ed710d,548,549,4.0,5.0,author_1,author_2,between_exchange,0.3377374854649394,0.33864418813729585,-0.06343908544712487,0.33028104516103507,-0.005647420847722309
AI-AI,ai-ai,conv_462717bcc40d4415847da0610f472914,224,225,4.0,5.0,author_1,author_2,between_exchange,0.2736457741262093,0.18298148820705995,0.0747775550850184,0.15917461952239303,-0.057919740640547376
AI-AI,ai-ai,conv_0388f204ccd644f39221d0d8afff6d09,26,27,4.0,5.0,author_1,author_2,between_exchange,0.3062472835058242,0.003448293100006364,0.1295833274591281,0.05394996286821084,0.19359622833640033
AI-AI,ai-ai,conv_30e43acd01e24513a5f6f65aa3fc5f50,175,176,7.0,7.0,author_2,author_1,within_exchange,0.3746932398573487,0.19968630972459014,-0.04179744198000058,0.18942565503798753,0.011394590553955034
AI-AI,ai-ai,conv_e9176cbc9fc84bf693d4722a41d4d02b,604,605,5.0,6.0,author_2,author_1,between_exchange,0.2624257668212464,0.20251247624682545,0.08502248182405353,0.29818169274847744,0.03714848008216094
AI-AI,ai-ai,conv_c7841512d38b483c928344d48d5caa78,533,534,6.0,6.0,author_1,author_2,within_exchange,0.2792779835964021,0.06652548347697103,-0.10027331145079578,0.1948473817984354,-0.17889231642172682
AI-AI,ai-ai,conv_272a28c1cb76483fb0bcc11661b06dbc,149,150,3.0,3.0,author_1,author_2,within_exchange,0.2965586435391565,0.08171121251083402,0.21442220181639948,0.12449100526285727,-0.07986202353496655
AI-AI,ai-ai,conv_628470d6e6cb42949e29a2c7866a28ab,292,293,2.0,3.0,author_2,author_1,between_exchange,0.258219089655252,0.3217411298199113,-0.10137624579409724,0.2609323935033136,-0.14630305956897893
AI-AI,ai-ai,conv_3cd6a9b2f37747109eaa80d6ec7ce875,195,196,8.0,8.0,author_2,author_1,within_exchange,0.3169826710660958,0.20604430013915115,0.06106872061501135,0.17927174513175884,0.16730063632300274
AI-AI,ai-ai,conv_4f8a0b7e568d40eba7e40164ecf1db73,249,250,8.0,8.0,author_2,author_1,within_exchange,0.43254940432854894,-0.1502208415619077,-0.07120450445850547,0.09352553707389778,0.248345316929734
AI-AI,ai-ai,conv_adc796acd32f4433993539115159236a,433,434,1.0,1.0,author_2,author_1,within_exchange,0.2581679498561549,0.07868074153929713,0.06730051903688758,0.08194404383701874,0.10673358889907347
AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,81,82,5.0,5.0,author_2,author_1,within_exchange,0.332780353870633,0.09254582451796532,0.09542447145369415,0.11654093222022038,0.22041000355110807
AI-AI,ai-ai,conv_deb05265bec84343b09557454f80ce9a,589,590,7.0,7.0,author_1,author_2,within_exchange,0.29814866191509204,0.008273037457436957,-0.015263203626270365,0.1259917030466609,0.0871517290190078
AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,67,68,7.0,7.0,author_1,author_2,within_exchange,0.34992072281278686,0.2476867190031322,-0.05495942919749958,0.14693735684919892,-0.14781860375732836
