turn_node_id,condition,condition_id,conversation_id,sequence_index,turn_index,slot,x,y
168,AI-AI,ai-ai,conv_30e43acd01e24513a5f6f65aa3fc5f50,6,3.0,author_1,0.24037679144989066,0.003089682356055872
169,AI-AI,ai-ai,conv_30e43acd01e24513a5f6f65aa3fc5f50,7,4.0,author_2,0.2992437871640059,-0.14244449661555952
170,AI-AI,ai-ai,conv_30e43acd01e24513a5f6f65aa3fc5f50,8,4.0,author_1,0.06551019758115385,-0.032771957834991705
172,AI-AI,ai-ai,conv_30e43acd01e24513a5f6f65aa3fc5f50,10,5.0,author_1,0.278462417573606,-0.061747679436262165
173,AI-AI,ai-ai,conv_30e43acd01e24513a5f6f65aa3fc5f50,11,6.0,author_2,0.26366293044168176,0.024536734945944737
174,AI-AI,ai-ai,conv_30e43acd01e24513a5f6f65aa3fc5f50,12,6.0,author_1,0.13969681189926758,-0.07367097466225023
175,AI-AI,ai-ai,conv_30e43acd01e24513a5f6f65aa3fc5f50,13,7.0,author_2,0.19968630972459014,-0.04179744198000058
176,AI-AI,ai-ai,conv_30e43acd01e24513a5f6f65aa3fc5f50,14,7.0,author_1,0.18942565503798753,0.011394590553955034
177,AI-AI,ai-ai,conv_30e43acd01e24513a5f6f65aa3fc5f50,15,8.0,author_2,0.11783570840588291,0.03977482845542163
178,AI-AI,ai-ai,conv_30e43acd01e24513a5f6f65aa3fc5f50,16,8.0,author_1,0.2552582414665187,0.00931870664081082
179,AI-AI,ai-ai,conv_30e43acd01e24513a5f6f65aa3fc5f50,17,9.0,author_2,0.17923063332799202,0.10039121417395179
180,AI-AI,ai-ai,conv_30e43acd01e24513a5f6f65aa3fc5f50,18,9.0,author_1,0.2497097065913989,0.012171104714431794
181,AI-AI,ai-ai,conv_3cd6a9b2f37747109eaa80d6ec7ce875,1,1.0,author_2,0.3371043826243154,-0.1639334313867027
182,AI-AI,ai-ai,conv_3cd6a9b2f37747109eaa80d6ec7ce875,2,1.0,author_1,0.22744077430818543,-0.18990854217968706
183,AI-AI,ai-ai,conv_3cd6a9b2f37747109eaa80d6ec7ce875,3,2.0,author_2,0.1821116393008091,-0.049589241280049476
184,AI-AI,ai-ai,conv_3cd6a9b2f37747109eaa80d6ec7ce875,4,2.0,author_1,0.10150276416289697,-0.17928642812171003
185,AI-AI,ai-ai,conv_3cd6a9b2f37747109eaa80d6ec7ce875,5,3.0,author_2,0.12115496784688114,-0.022543175452641295
186,AI-AI,ai-ai,conv_3cd6a9b2f37747109eaa80d6ec7ce875,6,3.0,author_1,0.30557714435609107,-0.07172001248918423
187,AI-AI,ai-ai,conv_3cd6a9b2f37747109eaa80d6ec7ce875,7,4.0,author_2,0.21767910897914505,-0.07934355289828833
188,AI-AI,ai-ai,conv_3cd6a9b2f37747109eaa80d6ec7ce875,8,4.0,author_1,0.21104588785010525,0.0725440210971785
189,AI-AI,ai-ai,conv_3cd6a9b2f37747109eaa80d6ec7ce875,9,5.0,author_2,0.018921077576855464,0.1686453284263506
190,AI-AI,ai-ai,conv_3cd6a9b2f37747109eaa80d6ec7ce875,10,5.0,author_1,0.027242600756326348,0.07915430522216002
191,AI-AI,ai-ai,conv_3cd6a9b2f37747109eaa80d6ec7ce875,11,6.0,author_2,0.1484414657453602,0.026965829285560038
192,AI-AI,ai-ai,conv_3cd6a9b2f37747109eaa80d6ec7ce875,12,6.0,author_1,0.05873815395361551,0.10520153117852761
193,AI-AI,ai-ai,conv_3cd6a9b2f37747109eaa80d6ec7ce875,13,7.0,author_2,0.32536589916975056,0.011637878459247797
194,AI-AI,ai-ai,conv_3cd6a9b2f37747109eaa80d6ec7ce875,14,7.0,author_1,0.19493013841698728,0.008508786290092506
195,AI-AI,ai-ai,conv_3cd6a9b2f37747109eaa80d6ec7ce875,15,8.0,author_2,0.20604430013915115,0.06106872061501135
196,AI-AI,ai-ai,conv_3cd6a9b2f37747109eaa80d6ec7ce875,16,8.0,author_1,0.17927174513175884,0.16730063632300274
197,AI-AI,ai-ai,conv_3cd6a9b2f37747109eaa80d6ec7ce875,17,9.0,author_2,0.06479562504672495,0.09425271880811459
198,AI-AI,ai-ai,conv_3cd6a9b2f37747109eaa80d6ec7ce875,18,9.0,author_1,0.10038649983188423,0.06059230407191407
200,AI-AI,ai-ai,conv_423a3b9f2e0640e789caf6a9f5e374b9,2,1.0,author_1,0.05399923372088811,-0.1704142118618181
201,AI-AI,ai-ai,conv_423a3b9f2e0640e789caf6a9f5e374b9,3,2.0,author_2,0.1255113309834407,0.07110643454026003
202,AI-AI,ai-ai,conv_423a3b9f2e0640e789caf6a9f5e374b9,4,2.0,author_1,0.08693501864246159,-0.020126793193911887
203,AI-AI,ai-ai,conv_423a3b9f2e0640e789caf6a9f5e374b9,5,3.0,author_2,0.14498608464800447,0.022103418744011276
204,AI-AI,ai-ai,conv_423a3b9f2e0640e789caf6a9f5e374b9,6,3.0,author_1,0.25205845333468163,-0.03989758964568938
205,AI-AI,ai-ai,conv_423a3b9f2e0640e789caf6a9f5e374b9,7,4.0,author_2,0.28236965636985834,0.07043460606426324
206,AI-AI,ai-ai,conv_423a3b9f2e0640e789caf6a9f5e374b9,8,4.0,author_1,0.2979327217524437,0.03543141836249593
207,AI-AI,ai-ai,conv_423a3b9f2e0640e789caf6a9f5e374b9,9,5.0,author_2,0.22531461645489473,0.09818192145692028
208,AI-AI,ai-ai,conv_423a3b9f2e0640e789caf6a9f5e374b9,10,5.0,author_1,0.18919114940838636,0.05073300199064542
209,AI-AI,ai-ai,conv_423a3b9f2e0640e789caf6a9f5e374b9,11,6.0,author_2,0.06071718808235395,-0.10202094076772353
210,AI-AI,ai-ai,conv_423a3b9f2e0640e789caf6a9f5e374b9,12,6.0,author_1,0.29310486299100447,-0.051543309532742096
