conversation_id,condition,turn,analysis_turn,complete_exchange,starter_side,starter_type,speaker_slot,speaker_type,speaker_is_starter,partner_type,text
EVPkCWSrT9SwL38W9Zuk,human-human,2,2,True,author_2,human,author_1,human,False,human,"loathed him, he noticed that the guard he stomped past was not riding his horse as usual but his horse was rather riding him. This was nothing compared"
EVPkCWSrT9SwL38W9Zuk,human-human,2,2,True,author_2,human,author_2,human,True,human,His entire life. As he was walking down the street thinking about all the things that annoyed him and shouting at the people that
EVPkCWSrT9SwL38W9Zuk,human-human,3,3,True,author_2,human,author_1,human,False,human,the first time in his entire life. This spark of curiosity was just what the haggard old guy needed to follow his secret childhood dream of being the world's
EVPkCWSrT9SwL38W9Zuk,human-human,3,3,True,author_2,human,author_2,human,True,human,"To the man walking on his hands right by him. He paused. ""What in the world is happening?"" he thought to himself. At that moment he felt confused rather than angry for"
EVPkCWSrT9SwL38W9Zuk,human-human,4,4,True,author_2,human,author_1,human,False,human,circus master would finally let him juggle his collection of hairless mice the way he had always hoped he would. He couldn't wait to see the crowd's face
EVPkCWSrT9SwL38W9Zuk,human-human,4,4,True,author_2,human,author_2,human,True,human,Best juggler. 'Maybe they are coming from a circus!' he thought excitedly. He started to pick up the pace toward the marketplace because maybe the
EVPkCWSrT9SwL38W9Zuk,human-human,5,5,True,author_2,human,author_1,human,False,human,of his entire life. The other best day of his entire life had been when his older brother Clarence broke his leg on the swings. This made the grumpy man happy as he disliked
EVPkCWSrT9SwL38W9Zuk,human-human,5,5,True,author_2,human,author_2,human,True,human,"When he would stand in the middle of the circus with his best costume on, with the mice in his hands, it would be the best day."
EVPkCWSrT9SwL38W9Zuk,human-human,6,6,True,author_2,human,author_1,human,False,human,"The man had learned from the frog that once lived in his left boot that these were all indications that the devil has hold of someone. Ever since his brief affair with a nun, he"
EVPkCWSrT9SwL38W9Zuk,human-human,6,6,True,author_2,human,author_2,human,True,human,His brother from his hair to his toes. Clarence had made it his life's mission to annoy him. Always smiling. Always laughing. Being happy.
EVPkCWSrT9SwL38W9Zuk,human-human,7,7,True,author_2,human,author_1,human,False,human,"hear any talk of nuns, or devils, or feelings. She was far too busy filling her garden with small piglets that would eat the"
EVPkCWSrT9SwL38W9Zuk,human-human,7,7,True,author_2,human,author_2,human,True,human,"He had known that something was completely wrong with Clarence. The nun confirmed all of his worries, and he had tried to tell their mum, but she did not want to."
EVPkCWSrT9SwL38W9Zuk,human-human,8,8,True,author_2,human,author_1,human,False,human,"worry about her children's wellbeing, besides that's what the maid, Periandelialis was for. She was good with children and good at cooking them into soups and stews of"
EVPkCWSrT9SwL38W9Zuk,human-human,8,8,True,author_2,human,author_2,human,True,human,"Small moles in the garden. She had been working years to try to get the pigs to eat moles, so of course she did not have time to"
EVPkCWSrT9SwL38W9Zuk,human-human,9,9,True,author_2,human,author_1,human,False,human,able to hold back his glee and joyous laughter at the idea of presenting his rats to the people of the many small kingdoms the circus was wont to tour. He had a secreter plan as
EVPkCWSrT9SwL38W9Zuk,human-human,9,9,True,author_2,human,author_2,human,True,human,"rabbit. She had been a second mum for the two brothers. But anyway, the old man was now running through the streets not"
EVPkCWSrT9SwL38W9Zuk,human-human,10,10,True,author_2,human,author_1,human,False,human,"a small insignificant worthless little boy with an alcoholic mother, satanic brother, and a father who spent too long playing with the fairies and now had become one himself. What"
EVPkCWSrT9SwL38W9Zuk,human-human,10,10,True,author_2,human,author_2,human,True,human,His real goal was to take over the circus and finally get the circus man back that bullied him when he was watching the circus when he was just a boy.
FTAeksA8Y0QOBPW6kxWX,human-human,1,1,True,author_2,human,author_1,human,False,human,"the cat-door. This was Skittles' big chance! The first step out in the fresh air felt like a rebirth. The world was open, but where to go? Skittles took a big breath and turned"
FTAeksA8Y0QOBPW6kxWX,human-human,1,1,True,author_2,human,author_2,human,True,human,"A little kitten named Skittles. Skittles lives with a sweet old lady, but he dreams of exploring the neighborhood. One day, his human forgets to close"
